,InBallPos,Shirt,Speed,Ts,dist to closest home,dist to closest visitor,zone,inZone,opponentsHalf,distanceToOpponentGoal,distanceToOwnGoal,angleOpponentToPassline,distanceToInPossession,distanceToOpponentRating,angleToPasslineRating,distanceToPossessionRating,distanceToOpponentGoalRating,curPositioningRating,PlayerID,positioningRating
868,0.0,11.0,5.38,3.7,2.195,5.707999999999998,0.0,0,0,47.40802052395777,61.02139305194531,,,,,,,,,
869,0.0,8.0,5.16,3.7,10.316,9.607,0.0,0,0,49.81910998803571,55.5924789877192,,,,,,,,,
870,0.0,7.0,3.9,3.7,3.656,9.607,0.0,0,0,47.67373307178702,57.75279062521568,,,,,,,,,
871,0.0,9.0,5.83,3.7,4.6560000000000015,8.297,0.0,0,0,40.767158596105276,71.49714134145505,,,,,,,,,
872,0.0,10.0,4.18,3.7,3.976,5.707999999999998,0.0,0,0,41.70192716170321,66.01803336210493,,,,,,,,,
873,0.0,1.0,,3.8,9.25,3.033,0.0,0,0,,,,,,,,,,,
874,0.0,0.0,1.17,3.8,23.413,33.268,0.0,0,0,98.19732919484113,7.139009805288128,,,,,,,,,
875,0.0,0.0,3.58,3.8,13.38,9.969,0.0,0,0,67.67118755423168,40.966323059313,,,,,,,,,
876,0.0,0.0,3.38,3.8,9.513,15.427,0.0,0,0,73.1513699188197,31.935449284455043,,,,,,,,,
877,0.0,0.0,3.91,3.8,8.968,6.3870000000000005,0.0,0,0,77.77873201589236,34.1464662007652,,,,,,,,,
878,0.0,0.0,3.29,3.8,8.478,6.605,0.0,0,0,80.40621672482794,41.11179499851593,,,,,,,,,
879,0.0,0.0,4.15,3.8,9.513,7.251,0.0,0,0,66.30748673415393,39.106812667360145,,,,,,,,,
880,0.0,28.0,3.58,3.8,8.968,10.757,0.0,0,0,76.19461714583254,30.55175415585822,,,,,,,,,
881,0.0,30.0,4.37,3.8,10.48,2.064,0.0,0,0,63.618746396011296,45.2401911247068,,,,,,,,,
882,0.0,0.0,4.17,3.8,8.478,4.831,0.0,0,0,72.18025786875522,43.73533612538036,,,,,,,,,
883,0.0,0.0,2.46,3.8,13.954,3.816,0.0,0,0,54.472514977739,51.08654312047352,,,,,,,,,
884,0.0,0.0,3.71,3.8,13.954,4.31,0.0,0,0,43.17593334254629,62.00033241846369,,,,,,,,,
885,0.0,1.0,2.51,3.8,29.897,25.591,0.0,0,0,91.79238903634656,13.289946764377955,,,,,,,,,
886,0.0,6.0,4.28,3.8,11.623,13.313,0.0,0,0,61.96010100863296,47.04725408565307,,,,,,,,,
887,0.0,5.0,1.84,3.8,4.31,10.111,0.0,0,0,66.27098309969455,38.86699372218026,,,,,,,,,
888,0.0,4.0,3.3,3.8,10.924,10.111,0.0,0,0,65.54897161664704,40.56633678310133,,,,,,,,,
889,0.0,2.0,3.96,3.8,9.969,11.65,0.0,0,0,50.91837519010205,58.95711095364155,,,,,,,,,
890,0.0,3.0,5.57,3.8,6.605,13.174,0.0,0,0,47.65287567398215,76.87988397493845,,,,,,,,,
891,0.0,11.0,5.54,3.8,2.064,5.7010000000000005,0.0,0,0,47.00153024104641,61.55464113289915,,,,,,,,,
892,0.0,8.0,5.18,3.8,10.335,9.671,0.0,0,0,49.41882306368697,56.0455178671765,,,,,,,,,
893,0.0,7.0,3.98,3.8,3.816,9.709,0.0,0,0,47.302244027107214,58.09537236303766,,,,,,,,,
894,0.0,9.0,5.9,3.8,4.831,8.356,0.0,0,0,40.24579968145745,72.06014426852057,,,,,,,,,
895,0.0,10.0,4.15,3.8,4.144,5.7010000000000005,0.0,0,0,41.30818662202446,66.43083833582111,,,,,,,,,
896,0.0,1.0,,3.9,8.259,3.202,0.0,0,0,,,,,,,,,,,
897,0.0,0.0,1.14,3.9,23.214,32.742,0.0,0,0,98.24958945970207,7.122627956028588,,,,,,,,,
898,0.0,0.0,3.64,3.9,13.359000000000002,9.963,0.0,0,0,67.94267425558108,40.611906936266855,,,,,,,,,
899,0.0,0.0,3.61,3.9,9.544,15.378,0.0,0,0,73.45820398022266,31.61562480799644,,,,,,,,,
900,0.0,0.0,4.0,3.9,8.959,6.0920000000000005,0.0,0,0,78.15397635437368,33.9665132152242,,,,,,,,,
901,0.0,0.0,3.36,3.9,8.392999999999999,6.301,0.0,0,0,80.73715697248696,40.937617370824114,,,,,,,,,
902,0.0,0.0,4.18,3.9,9.544,7.027,0.0,0,0,66.66614976882946,38.79440069133689,,,,,,,,,
903,0.0,28.0,3.66,3.9,8.959,10.584,0.0,0,0,76.50849422776533,30.335287850950085,,,,,,,,,
904,0.0,30.0,4.55,3.9,10.452,1.941,0.0,0,0,64.04329480905866,44.9470089104937,,,,,,,,,
905,0.0,0.0,4.16,3.9,8.392999999999999,5.0139999999999985,0.0,0,0,72.59622935111713,43.46507236851217,,,,,,,,,
906,0.0,0.0,2.41,3.9,14.163,3.979,0.0,0,0,54.65672659426286,50.87384162809016,,,,,,,,,
907,0.0,0.0,3.74,3.9,14.163,4.306,0.0,0,0,43.30293099779737,61.91779899996446,,,,,,,,,
908,0.0,1.0,2.64,3.9,29.815,25.525,0.0,0,0,91.60011500538631,13.502261625372244,,,,,,,,,
909,0.0,6.0,4.24,3.9,11.411,13.390999999999998,0.0,0,0,61.57744734072695,47.471381073231896,,,,,,,,,
910,0.0,5.0,2.18,3.9,4.306,10.259,0.0,0,0,66.1482712170167,39.006201878675654,,,,,,,,,
911,0.0,4.0,3.38,3.9,11.177,10.259,0.0,0,0,65.21506195657564,40.88880416446537,,,,,,,,,
912,0.0,2.0,3.96,3.9,9.963,11.58,0.0,0,0,50.55452633543311,59.17077093464306,,,,,,,,,
913,0.0,3.0,5.66,3.9,6.301,13.064,0.0,0,0,47.16627491121172,77.32695189259692,,,,,,,,,
914,0.0,11.0,5.67,3.9,1.941,5.692,0.0,0,0,46.586319730152546,62.103101259115874,,,,,,,,,
915,0.0,8.0,5.22,3.9,10.253,9.654,0.0,0,0,49.02466181423386,56.497499643789546,,,,,,,,,
916,0.0,7.0,4.05,3.9,3.979,9.802,0.0,0,0,46.93124495472073,58.43510719593145,,,,,,,,,
917,0.0,9.0,5.96,3.9,5.0139999999999985,8.417,0.0,0,0,39.71722841538669,72.62870116558605,,,,,,,,,
918,0.0,10.0,4.15,3.9,4.291,5.692,0.0,0,0,40.917098259773994,66.84189502101208,,,,,,,,,
919,0.0,1.0,,4.0,7.312,3.743,0.0,0,0,,,,,,,,,,,
920,0.0,0.0,1.13,4.0,23.004,32.209,0.0,0,0,98.30188719449897,7.1071109460877295,,,,,,,,,
921,0.0,0.0,3.69,4.0,13.341,9.964,0.0,0,0,68.22185564758556,40.25098244763723,,,,,,,,,
922,0.0,0.0,3.85,4.0,9.599,15.358,0.0,0,0,73.79976190340996,31.26331487542548,,,,,,,,,
923,0.0,0.0,4.07,4.0,8.935,5.819,0.0,0,0,78.54429350372948,33.76264269869881,,,,,,,,,
924,0.0,0.0,3.44,4.0,8.311,6.006,0.0,0,0,81.0716060035818,40.7414445006556,,,,,,,,,
925,0.0,0.0,4.21,4.0,9.599,6.812,0.0,0,0,67.03386775354679,38.474009746840785,,,,,,,,,
926,0.0,28.0,3.73,4.0,8.935,10.423,0.0,0,0,76.8342410257302,30.108978627645275,,,,,,,,,
927,0.0,30.0,4.76,4.0,10.415,1.832,0.0,0,0,64.4938798414237,44.62533514720086,,,,,,,,,
928,0.0,0.0,4.14,4.0,8.311,5.2029999999999985,0.0,0,0,73.01057063877805,43.194367977781546,,,,,,,,,
929,0.0,0.0,2.35,4.0,14.352,4.148,0.0,0,0,54.841440553654316,50.663533256179434,,,,,,,,,
930,0.0,0.0,3.79,4.0,14.352,4.3,0.0,0,0,43.463203402418465,61.806148965940274,,,,,,,,,
931,0.0,1.0,2.75,4.0,29.755,25.489,0.0,0,0,91.40033610441485,13.725211838073758,,,,,,,,,
932,0.0,6.0,4.18,4.0,11.202,13.436,0.0,0,0,61.1978116683922,47.88989614730857,,,,,,,,,
933,0.0,5.0,2.57,4.0,4.3,10.414,0.0,0,0,65.98754922710799,39.185796572227545,,,,,,,,,
934,0.0,4.0,3.45,4.0,11.433,10.414,0.0,0,0,64.87439544997703,41.21610346697029,,,,,,,,,
935,0.0,2.0,3.94,4.0,9.964,11.532,0.0,0,0,50.18924556117575,59.389985435256676,,,,,,,,,
936,0.0,3.0,5.75,4.0,6.006,12.942,0.0,0,0,46.666089808339414,77.77309263492097,,,,,,,,,
937,0.0,11.0,5.77,4.0,1.832,5.688,0.0,0,0,46.16590500575073,62.66243519845043,,,,,,,,,
938,0.0,8.0,5.26,4.0,10.186,9.638,0.0,0,0,48.638309263377984,56.94791592323638,,,,,,,,,
939,0.0,7.0,4.14,4.0,4.148,9.89,0.0,0,0,46.55903878947674,58.77426386608343,,,,,,,,,
940,0.0,9.0,6.01,4.0,5.2029999999999985,8.478,0.0,0,0,39.18371133519641,73.2011832827858,,,,,,,,,
941,0.0,10.0,4.21,4.0,4.416,5.688,0.0,0,0,40.523313832903646,67.25577271877857,,,,,,,,,
942,0.0,1.0,,4.1,6.432,4.417,0.0,0,0,,,,,,,,,,,
943,0.0,0.0,1.12,4.1,22.784,31.67,0.0,0,0,98.35428625637014,7.093350759690371,,,,,,,,,
944,0.0,0.0,3.73,4.1,13.325,9.971,0.0,0,0,68.50911362731239,39.884190476929575,,,,,,,,,
945,0.0,0.0,4.06,4.1,9.673,15.282,0.0,0,0,74.1718645579306,30.88212253068108,,,,,,,,,
946,0.0,0.0,4.14,4.1,8.895,5.565,0.0,0,0,78.94838563263977,33.53502041150415,,,,,,,,,
947,0.0,0.0,3.51,4.1,8.231,5.7170000000000005,0.0,0,0,81.40973358266197,40.52597589201277,,,,,,,,,
948,0.0,0.0,4.23,4.1,9.673,6.603,0.0,0,0,67.40955493845068,38.14653453460746,,,,,,,,,
949,0.0,28.0,3.8,4.1,8.895,10.268,0.0,0,0,77.17070245242039,29.87352200528086,,,,,,,,,
950,0.0,30.0,4.98,4.1,10.367,1.741,0.0,0,0,64.97137789057578,44.27425826594953,,,,,,,,,
951,0.0,0.0,4.1,4.1,8.231,5.395,0.0,0,0,73.42165340006993,42.92038196474957,,,,,,,,,
952,0.0,0.0,2.3,4.1,14.519,4.324,0.0,0,0,55.028280411075905,50.45326198572298,,,,,,,,,
953,0.0,0.0,3.84,4.1,14.519,4.285,0.0,0,0,43.65526988806735,61.6661381067438,,,,,,,,,
954,0.0,1.0,2.84,4.1,29.718000000000004,25.49,0.0,0,0,91.19304618774395,13.958569876602688,,,,,,,,,
955,0.0,6.0,4.12,4.1,10.997,13.444,0.0,0,0,60.82211390604572,48.30185855637441,,,,,,,,,
956,0.0,5.0,3.0,4.1,4.285,10.571,0.0,0,0,65.78403546454109,39.411030461027025,,,,,,,,,
