,PlayerID,TeamID,Ts,X,Y,Acceleration,Snelheid,Ts,TeamCentXA,TeamCentYA,LengthA,WidthA,TeamCentXB,TeamCentYB,LengthB,WidthB,distToCent,SpreadA,stdSpreadA,SpreadB,stdSpreadB,SurfaceA,SumVerticesA,ShapeRatioA,SurfaceB,SumVerticesB,ShapeRatioB,vNorm,distFrame,avgRelSpeedPlayerBall,control,distToBall,InPossession,ballPosession
170,ball,,17.2,-33.445,-8.136000000000001,-1.74,6.26,17.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
171,ball,,17.3,-34.054,-8.216000000000001,-2.15,6.0,17.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
172,ball,,17.400000000000002,-34.645,-8.309,2.7,6.1,17.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,0,
173,ball,,17.5,-35.221,-8.431000000000001,3.1,6.39,17.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
174,ball,,17.6,-35.77,-8.55,4.48,6.74,17.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
175,ball,,17.7,-36.315,-8.604,4.5,7.24,17.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
176,ball,,17.8,-36.607,-8.895,4.51,7.69,17.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
177,ball,,17.900000000000006,-36.28,-9.572,4.45,8.12,17.900000000000006,,,,,,,,,,,,,,,,,,,,,,,,,0,
178,ball,,18.0,-35.67,-10.318,3.05,8.51,18.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
179,ball,,18.1,-34.978,-11.055,2.82,8.78,18.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
180,ball,,18.2,-34.228,-11.883,2.27,9.05,18.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
181,ball,,18.3,-33.501999999999995,-12.67,1.83,9.33,18.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
182,ball,,18.4,-32.808,-13.424,-4.03,9.15,18.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
183,ball,,18.5,-32.153,-14.152,-5.37,8.66,18.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
184,ball,,18.6,-31.582,-14.768,-6.43,8.09,18.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
185,ball,,18.7,-31.033,-15.374,-6.56,7.4,18.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
186,ball,,18.8,-30.543000000000006,-15.917,-6.12,6.76,18.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
187,ball,,18.9,-30.148000000000003,-16.354,-6.01,6.18,18.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
188,ball,,19.0,-29.82,-16.703,-5.02,5.63,19.0,,,,,,,,,,,,,,,,,,,,,,,,,0,
189,ball,,19.1,-29.512,-17.01,-5.71,5.11,19.1,,,,,,,,,,,,,,,,,,,,,,,,,0,
190,ball,,19.2,-29.207,-17.319000000000006,-5.72,4.5,19.2,,,,,,,,,,,,,,,,,,,,,,,,,0,
191,ball,,19.3,-28.904,-17.625999999999994,-4.67,3.96,19.3,,,,,,,,,,,,,,,,,,,,,,,,,0,
192,ball,,19.4,-28.595,-17.935,-3.9,3.55,19.4,,,,,,,,,,,,,,,,,,,,,,,,,0,
193,ball,,19.5,-28.287,-18.243,-2.71,3.24,19.5,,,,,,,,,,,,,,,,,,,,,,,,,0,
194,ball,,19.6,-28.016,-18.419,-2.47,2.98,19.6,,,,,,,,,,,,,,,,,,,,,,,,,0,
195,ball,,19.7,-27.813,-18.386,-2.93,2.71,19.7,,,,,,,,,,,,,,,,,,,,,,,,,0,
196,ball,,19.8,-27.624,-18.401,-1.8,2.45,19.8,,,,,,,,,,,,,,,,,,,,,,,,,0,
197,ball,,19.9,-27.446,-18.425,-0.69,2.32,19.9,,,,,,,,,,,,,,,,,,,,,,,,,0,
198,01A,XX0001,0.0,-49.105,1.325,0.01,0.0,0.0,,,,,,,,,39.6369155850801,,,,,,,,,,,0.0,0.0,,,,0,
199,01A,XX0001,0.1,-49.105,1.325,0.02,0.0,0.1,,,,,,,,,39.68516891067916,,,,,,,,,,,0.0,0.0,1.0,0.0,42.56695536446082,0,
200,01A,XX0001,0.2,-49.105,1.325,0.02,0.01,0.2,,,,,,,,,39.7475115980179,,,,,,,,,,,0.0049999999999954525,0.0004999999999995452,,,,0,
201,01A,XX0001,0.3,-49.106,1.325,0.01,0.01,0.3,,,,,,,,,39.82552635179516,,,,,,,,,,,0.005000000000052296,0.0005000000000052297,0.9990262901655307,0.0019464715580969072,39.479351261133964,0,
202,01A,XX0001,0.4,-49.106,1.325,0.01,0.01,0.4,,,,,,,,,39.91650390348011,,,,,,,,,,,0.004999999999967031,0.0004999999999967031,0.9991166077738516,0.0017660040704715607,38.05556969748318,0,
203,01A,XX0001,0.5,-49.107,1.325,0.01,0.01,0.5,,,,,,,,,40.01901974555426,,,,,,,,,,,0.01500000000001478,0.0015000000000014776,0.9991883116883117,0.0016227177854613029,36.716143656435385,0,
204,01A,XX0001,0.6,-49.109,1.325,0.0,0.01,0.6,,,,,,,,,40.12997736306979,,,,,,,,,,,0.020000000000010232,0.002000000000001024,0.999195494770716,0.0016083632299039863,35.47010212841232,0,
205,01A,XX0001,0.7000000000000001,-49.111,1.325,0.0,0.01,0.7000000000000001,,,,,,,,,40.24560479246288,,,,,,,,,,,0.014999999999986358,0.0014999999999986363,0.9991496598639455,0.0016999571937619251,34.30216618524259,0,
